"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,term
,,,,,,,,describe,,,,describe
,,,,description,,,,,,,,description
,,,,descriptions,,,,,,,True,descriptions
,,,,,,,,deserve,,,,deserve
,,,,design,,,,design,,,,design
,designer,,,designer,,,,,,,,designer
,,,,designers,,,,,,,True,designers
,,,,designs,,,,,,,True,designs
,,,,desire,,,,desire,,,,desire
,,,desiree,,,desiree,,,,,,desiree
,,,,desires,,,,,,,True,desires
,,,,desk,,,,,,,,desk
,,,,desks,,,,,,,True,desks
,,,desmond,,,,,,,,,desmond
,desperate,,,,,,,,,,,desperate
,,,,,despite,,,,,,,despite
,,,destiny,,,destiny,,,,,,destiny
,,,,,,,,destroy,,,,destroy
,,,,detail,,,,detail,,,,detail
,,,,,,,,detailed,,,,detailed
,,,,details,,,,,,,True,details
,,,,,,,,determine,,,,determine
,,,,,,,,develop,,,,develop
,,,,development,,,,,,,,development
,,,,developments,,,,,,,True,developments
,,,,device,,,,,,,,device
,,,,devices,,,,,,,True,devices
,,,,devil,,,,devil,,,,devil
,,,,devils,,,,,,,True,devils
,,,devin,,,,,,,,,devin
,,,devon,,,,,,,,,devon
,,,dexter,,,,,,,,,dexter
,,,,diamond,,,,,,,,diamond
,,,,diamonds,,,,,,,True,diamonds
,,,diana,,,diana,,,,,,diana
,,,,,,,diaz,,,,,diaz
,,,,,,,dickerson,,,,,dickerson
,,,,,,,dickson,,,,,dickson
,,,,,,,,die,,,,die
,,,diego,,,,,,,,,diego
,,,,diet,,,,diet,,,,diet
,,,,diets,,,,,,,True,diets
,,,,,,,,differ,,,,differ
,,,,difference,,,,,,,,difference
,,,,differences,,,,,,,True,differences
,different,,,,,,,,,,,different
,difficult,,,,,,,,,,,difficult
,,,,difficulties,,,,,,,True,difficulties
,,,,difficulty,,,,,,,,difficulty
,,,,dig,,,,dig,,,,dig
,,,,digs,,,,,,,True,digs
,,,dilan,,,,,,,,,dilan
,,,dillon,,,,dillon,,,,,dillon
,,,,dimension,,,,dimension,,,,dimension
,,,,dimensions,,,,,,,True,dimensions
,,,dimitri,,,,,,,,,dimitri
,,,,dinner,,,,,,,,dinner
,,,,dinners,,,,,,,True,dinners
,direct,direct,,,,,,,,,,direct
,,,,direction,,,,,,,,direction
,,,,directions,,,,,,,True,directions
,,directly,,,,,,,,,,directly
,,,,director,,,,,,,,director
,,,,directors,,,,,,,True,directors
,,,,dirt,,,,,,,,dirt
,,,,dirts,,,,,,,True,dirts
,dirty,,,,,,,dirty,,,,dirty
,,,,,,,,disagree,,,,disagree
,,,,,,,,disappointed,,,,disappointed
,,,,disaster,,,,,,,,disaster
,,,,disasters,,,,,,,True,disasters
,,,,discipline,,,,discipline,,,,discipline
,,,,disciplines,,,,,,,True,disciplines
,,,,discount,,,,discount,,,,discount
,,,,discounts,,,,,,,True,discounts
,,,,,,,,discover,,,,discover
,,,,,,,,discuss,,,,discuss
,,,,discussion,,,,,,,,discussion
,,,,discussions,,,,,,,True,discussions
,,,,disease,,,,,,,,disease
,,,,diseases,,,,,,,True,diseases
,,,,dish,,,,dish,,,,dish
,,,,dishs,,,,,,,True,dishs
,,,,disk,,,,,,,,disk
,,,,disks,,,,,,,True,disks
,,,,display,,,,display,,,,display
,,,,displays,,,,,,,True,displays
,,,,distance,,,,distance,,,,distance
,,,,distances,,,,,,,True,distances
,distinct,,,,,,,,,,,distinct
,,,,,,,,distribute,,,,distribute
,,,,distribution,,,,,,,,distribution
,,,,distributions,,,,,,,True,distributions
,,,,district,,,,district,,,,district
,,,,districts,,,,,,,True,districts
div,,,,,,,,,,,,div
divide,,,,divide,,,,divide,,,,divide
,,,,divides,,,,,,,True,divides
,,,,,,,dixon,,,,,dixon
dl,,,,,,,,,,,,dl
dm,,,,,,,,,,,,dm
,,,,doctor,,,,doctor,,,,doctor
,,,,doctors,,,,,,,True,doctors
,,,,document,,,,document,,,,document
,,,,documents,,,,,,,True,documents
,,,,,,,dodson,,,,,dodson
,,,,,,,,does,,,,does
,,,,dog,,,,dog,,,,dog
,,,,dogs,,,,,,,True,dogs
,,,,,,,dominguez,,,,,dominguez
,,,dominic,,,,,,,,,dominic
,,,dominick,,,,,,,,,dominick
,,,dominik,,,,,,,,,dominik
,,,dominique,,,,,,,,,dominique
,,,donald,,,,,,,,,donald
,,,,,,,donaldson,,,,,donaldson
,,,donovan,,,,donovan,,,,,donovan
,,,,door,,,,,,,,door
,,,,doors,,,,,,,True,doors
,,,dorian,,,,,,,,,dorian
,,,dorothy,,,dorothy,,,,,,dorothy
,,,,,,,dorsey,,,,,dorsey
,,,,dot,,,,dot,,,,dot
,,,,dots,,,,,,,True,dots
,double,,,double,,,,,,,,double
,,,,doubles,,,,,,,True,doubles
,,,,doubt,,,,doubt,,,,doubt
,,,,doubts,,,,,,,True,doubts
,,,,,,,dougherty,,,,,dougherty
,,,douglas,,,,douglas,,,,,douglas
,,down,,,down,,,,,,,down
,downtown,downtown,,,,,,,,,,downtown
,,,,,,,doyle,,,,,doyle
dr,,,,,,,,,,,,dr
,,,,draft,,,,draft,,,,draft
,,,,drafts,,,,,,,True,drafts
,,,,drag,,,,drag,,,,drag
,,,,drags,,,,,,,True,drags
,,,drake,,,,drake,,,,,drake
,,,,drama,,,,,,,,drama
,,,,dramas,,,,,,,True,dramas
,dramatic,,,,,,,,,,,dramatic
,,,,,,,,drank,,True,,drank
,,,draven,,,,,,,,,draven
,,,,draw,,,,draw,,,,draw
,,,,drawer,,,,,,,,drawer
,,,,drawers,,,,,,,True,drawers
,,,,drawing,,,,,,,,drawing
,,,,drawings,,,,,,,True,drawings
,,,,,,,,drawn,True,,,drawn
,,,,draws,,,,,,,True,draws
,,,dream,dream,,dream,,dream,,,,dream
,,,,,,,,dreamed,True,,,dreamed
,,,,dreams,,,,,,,True,dreams
,,,,,,,,dreamt,,True,,dreamt
,dress,,,dress,,,,,,,,dress
,,,,dresses,,,,,,,True,dresses
,,,drew,,,,,drew,,True,,drew
,,,,drink,,,,drink,,,,drink
,,,,drinks,,,,,,,True,drinks
driv,,,,,,,,,,,,driv
drive,,,,drive,,,,drive,,,,drive
,,,,,,,,driven,True,,,driven
,,,,driver,,,,,,,,driver
,,,,drivers,,,,,,,True,drivers
drives,,,,drives,,,,,,,True,drives
,,,,drop,,,,drop,,,,drop
,,,,drops,,,,,,,True,drops
,,,,,,,,drove,,True,,drove
drs,,,,,,,,,,,,drs
,drunk,,,drunk,,,,drunk,True,,,drunk
,,,,drunks,,,,,,,True,drunks
drv,,,,,,,,,,,,drv
,dry,,,,,,,dry,,,,dry
,,,,,,,duarte,,,,,duarte
,,,,,,,dudley,,,,,dudley
,due,,,due,,,,,,,,due
,,,,dues,,,,,,,True,dues
,,,,,,,duffy,,,,,duffy
,,,,,,,,dug,True,,,dug
,,,duke,,,,duke,,,,,duke
,,,dulce,,,dulce,,,,,,dulce
,,,,dump,,,,dump,,,,dump
,,,,dumps,,,,,,,True,dumps
,,,duncan,,,,duncan,,,,,duncan
,,,,,,,dunlap,,,,,dunlap
,,,,,,,dunn,,,,,dunn
,,,,,,,duran,,,,,duran
,,,,,,,durham,,,,,durham
,,,,,during,,,,,,,during
,,,,dust,,,,dust,,,,dust
,,,dustin,,,,,,,,,dustin
,,,,dusts,,,,,,,True,dusts
,,,,duties,,,,,,,True,duties
,,,,duty,,,,,,,,duty
dv,,,,,,,,,,,,dv
dvd,,,,,,,,,,,,dvd
,,,dwayne,,,,,,,,,dwayne
,,,,,,,dyer,,,,,dyer
,,,dylan,,,dylan,,,,,,dylan
,each,each,,,,,,,,,,each
,,,,ear,,,,,,,,ear
,,early,,,,,,,,,,early
,,,,,,,,earn,,,,earn
,,,,ears,,,,,,,True,ears
,,,,earth,,,,earth,,,,earth
,,,,earths,,,,,,,True,earths
,,,,ease,,,,ease,,,,ease
,,,,eases,,,,,,,True,eases
,,easily,,,,,,,,,,easily
,,,eason,,,,,,,,,eason
,east,,,east,,,,,,,,east
,eastern,,,,,,,,,,,eastern
,,,easton,,,,,,,,,easton
,,,,easts,,,,,,,True,easts
,easy,easy,,,,,,,,,,easy
,,,,eat,,,,eat,,,,eat
,,,,,,,,eaten,True,,,eaten
,,,,,,,eaton,,,,,eaton
,,,,eats,,,,,,,True,eats
,,,,economics,,,,,,,,economics
,,,,economicses,,,,,,,True,economicses
,,,,economies,,,,,,,True,economies
,economy,,,economy,,,,,,,,economy
,,,eddie,,,,,,,,,eddie
,,,eden,,,eden,,,,,,eden
,,,edgar,,,,,,,,,edgar
,,,,edge,,,,edge,,,,edge
,,,,edges,,,,,,,True,edges
,,,edison,,,,,,,,,edison
,,,edith,,,edith,,,,,,edith
,,,,editor,,,,,,,,editor
,,,,editors,,,,,,,True,editors
,,,eduardo,,,,,,,,,eduardo
,,,,education,,,,,,,,education
,educational,,,,,,,,,,,educational
,,,,educations,,,,,,,True,educations
,,,edward,,,,,,,,,edward
,,,,,,,edwards,,,,,edwards
,,,edwin,,,,,,,,,edwin
,,,,effect,,,,effect,,,,effect
,effective,,,effective,,,,,,,,effective
,,effectively,,,,,,,,,,effectively
,,,,effectives,,,,,,,True,effectives
,,,,effects,,,,,,,True,effects
,,,,efficiencies,,,,,,,True,efficiencies
,,,,efficiency,,,,,,,,efficiency
,efficient,,,,,,,,,,,efficient
,,,,effort,,,,,,,,effort
,,,,efforts,,,,,,,True,efforts
,,,,egg,,,,egg,,,,egg
,,,,eggs,,,,,,,True,eggs
,,,egypt,,,egypt,,,,,,egypt
,,,eileen,,,eileen,,,,,,eileen
,either,,,,,,,,,,,either
,,,elaina,,,elaina,,,,,,elaina
,,,elaine,,,elaine,,,,,,elaine
,,,eleanor,,,eleanor,,,,,,eleanor
,,,,election,,,,,,,,election
,,,,elections,,,,,,,True,elections
,electrical,,,,,,,,,,,electrical
,electronic,,,,,,,,,,,electronic
,,,elena,,,elena,,,,,,elena
,,,,elevator,,,,,,,,elevator
,,,,elevators,,,,,,,True,elevators
,,,eli,,,,,,,,,eli
,,,elian,,,,,,,,,elian
,,,eliana,,,eliana,,,,,,eliana
,,,elianna,,,elianna,,,,,,elianna
,,,elias,,,,,,,,,elias
,,,eliezer,,,,,,,,,eliezer
,,,elijah,,,,,,,,,elijah
,,,elisa,,,elisa,,,,,,elisa
,,,elisabeth,,,elisabeth,,,,,,elisabeth
,,,elise,,,elise,,,,,,elise
,,,eliseo,,,,,,,,,eliseo
,,,elisha,,,,,,,,,elisha
,,,eliza,,,eliza,,,,,,eliza
,,,elizabeth,,,elizabeth,,,,,,elizabeth
,,,ella,,,ella,,,,,,ella
,,,elle,,,elle,,,,,,elle
,,,ellen,,,ellen,,,,,,ellen
,,,elliana,,,elliana,,,,,,elliana
,,,ellianna,,,ellianna,,,,,,ellianna
,,,ellie,,,ellie,,,,,,ellie
,,,elliot,,,elliot,,,,,,elliot
,,,elliott,,,elliott,elliott,,,,,elliott
,,,ellis,,,ellis,ellis,,,,,ellis
,,,ellison,,,ellison,ellison,,,,,ellison
,,,eloise,,,eloise,,,,,,eloise
,,,elora,,,elora,,,,,,elora
,,,elsa,,,elsa,,,,,,elsa
,,else,,,,,,,,,,else
,,elsewhere,,,,,,,,,,elsewhere
,,,elsie,,,elsie,,,,,,elsie
,,,elyse,,,elyse,,,,,,elyse
,,,emanuel,,,,,,,,,emanuel
,embarrassed,,,,,,,,,,,embarrassed
,,,ember,,,ember,,,,,,ember
,,,emberly,,,emberly,,,,,,emberly
,,,emelia,,,emelia,,,,,,emelia
,,,emely,,,emely,,,,,,emely
,,,emerald,,,emerald,,,,,,emerald
,,,,emergencies,,,,,,,True,emergencies
,emergency,,,emergency,,,,,,,,emergency
,,,emerie,,,emerie,,,,,,emerie
,,,emerson,,,emerson,,,,,,emerson
,,,emersyn,,,emersyn,,,,,,emersyn
,,,emery,,,emery,,,,,,emery
,,,emilee,,,emilee,,,,,,emilee
,,,emilia,,,emilia,,,,,,emilia
,,,emiliano,,,,,,,,,emiliano
,,,emilio,,,,,,,,,emilio
,,,emily,,,emily,,,,,,emily
,,,emma,,,emma,,,,,,emma
,,,emmaline,,,emmaline,,,,,,emmaline
,,,emmalyn,,,emmalyn,,,,,,emmalyn
,,,emmalynn,,,emmalynn,,,,,,emmalynn
,,,emmanuel,,,,,,,,,emmanuel
,,,emmeline,,,emmeline,,,,,,emmeline
,,,emmet,,,,,,,,,emmet
,,,emmett,,,,,,,,,emmett
,,,emmie,,,emmie,,,,,,emmie
,,,emmitt,,,,,,,,,emmitt
,,,emmy,,,emmy,,,,,,emmy
,,,emory,,,emory,,,,,,emory
,,,,emotion,,,,,,,,emotion
,emotional,,,,,,,,,,,emotional
,,,,emotions,,,,,,,True,emotions
,,,,emphasis,,,,,,,,emphasis
,,,,emphasises,,,,,,,True,emphasises
,,,,,,,,emphasize,,,,emphasize
,,,,employ,,,,employ,,,,employ
,,,,employee,,,,,,,,employee
,,,,employees,,,,,,,True,employees
,,,,employer,,,,,,,,employer
,,,,employers,,,,,,,True,employers
,,,,employment,,,,,,,,employment
,,,,employments,,,,,,,True,employments
,,,,employs,,,,,,,True,employs
,empty,,,,,,,empty,,,,empty
,,,,,,,,enable,,,,enable
,,,,,,,,encourage,,,,encourage
,,,,,,,,encouraging,,,,encouraging
,,,,end,,,,end,,,,end
,,,,ends,,,,,,,True,ends
,,,,energies,,,,,,,True,energies
,,,,energy,,,,,,,,energy
,,,,,,,,engage,,,,engage
,,,,engine,,,,,,,,engine
,,,,engineer,,,,engineer,,,,engineer
,,,,engineering,,,,,,,,engineering
,,,,engineerings,,,,,,,True,engineerings
,,,,engineers,,,,,,,True,engineers
,,,,engines,,,,,,,True,engines
,,,,,,,english,,,,,english
,,,,,,,,enhance,,,,enhance
,,,,,,,,enjoy,,,,enjoy
,,,enoch,,,,,,,,,enoch
,enough,enough,,,,,,,,,,enough
,,,enrique,,,,,,,,,enrique
,,,,,,,enriquez,,,,,enriquez
,,,ensley,,,ensley,,,,,,ensley
,,,,,,,,ensure,,,,ensure
,,,,,,,,enter,,,,enter
,,,,entertainment,,,,,,,,entertainment
,,,,entertainments,,,,,,,True,entertainments
,,,,enthusiasm,,,,,,,,enthusiasm
,,,,enthusiasms,,,,,,,True,enthusiasms
,entire,,,,,,,,,,,entire
,,,,entrance,,,,entrance,,,,entrance
,,,,entrances,,,,,,,True,entrances
,,,,entries,,,,,,,True,entries
,,,,entry,,,,,,,,entry
,,,,environment,,,,,,,,environment
,environmental,,,,,,,,,,,environmental
,,,,environments,,,,,,,True,environments
,,,enzo,,,,,,,,,enzo
,,,ephraim,,,,,,,,,ephraim
,equal,,,equal,,,,,,,,equal
,,equally,,,,,,,,,,equally
,,,,equals,,,,,,,True,equals
,,,,equipment,,,,,,,,equipment
,,,,equipments,,,,,,,True,equipments
,equivalent,,,equivalent,,,,,,,,equivalent
,,,,equivalents,,,,,,,True,equivalents
,,,eric,,,,,,,,,eric
,,,erica,,,erica,,,,,,erica
,,,erick,,,,,,,,,erick
,,,,,,,erickson,,,,,erickson
,,,erik,,,,,,,,,erik
,,,erika,,,erika,,,,,,erika
,,,erin,,,erin,,,,,,erin
,,,ernest,,,,,,,,,ernest
,,,ernesto,,,,,,,,,ernesto
,,,,error,,,,,,,,error
,,,,errors,,,,,,,True,errors
,,,,escape,,,,escape,,,,escape
,,,,escapes,,,,,,,True,escapes
,,,,,,,escobar,,,,,escobar
,,,esme,,,esme,,,,,,esme
,,,esmeralda,,,esmeralda,,,,,,esmeralda
,,,,,,,esparza,,,,,esparza
,,especially,,,,,,,,,,especially
,,,esperanza,,,esperanza,,,,,,esperanza
,,,,,,,espinosa,,,,,espinosa
,,,,,,,espinoza,,,,,espinoza
,,,,,,,esquivel,,,,,esquivel
,,,,essay,,,,essay,,,,essay
,,,,essays,,,,,,,True,essays
,,essentially,,,,,,,,,,essentially
est,,,,,,,,,,,,est
,,,,,,,,establish,,,,establish
,,,,establishment,,,,,,,,establishment
,,,,establishments,,,,,,,True,establishments
estate,,,,estate,,,,,,,,estate
estates,,,,estates,,,,,,,True,estates
,,,esteban,,,,,,,,,esteban
,,,estella,,,estella,,,,,,estella
,,,estelle,,,estelle,,,,,,estelle
,,,,,,,estes,,,,,estes
,,,esther,,,esther,,,,,,esther
,,,,estimate,,,,estimate,,,,estimate
,,,,estimates,,,,,,,True,estimates
,,,,,,,estrada,,,,,estrada
,,,estrella,,,estrella,,,,,,estrella
ests,,,,,,,,,,,,ests
,,,ethan,,,,,,,,,ethan
,,,eugene,,,,,,,,,eugene
,,,eva,,,eva,,,,,,eva
,,,evalyn,,,evalyn,,,,,,evalyn
,,,evan,,,,,,,,,evan
,,,evangeline,,,evangeline,,,,,,evangeline
,,,,,,,evans,,,,,evans
,,,eve,,,eve,,,,,,eve
,,,evelyn,,,evelyn,,,,,,evelyn
,,,evelynn,,,evelynn,,,,,,evelynn
,even,,,,,,,even,,,,even
,evening,,,evening,,,,,,,,evening
,,,,evenings,,,,,,,True,evenings
,,,,event,,,,,,,,event
,,,,events,,,,,,,True,events
,,eventually,,,,,,,,,,eventually
,,ever,,,,,,,,,,ever
,,,everett,,,,everett,,,,,everett
,,,everlee,,,everlee,,,,,,everlee
,,,everleigh,,,everleigh,,,,,,everleigh
,,,everly,,,everly,,,,,,everly
,every,,,,,,,,,,,every
,,,,,,everybody,,,,,,everybody
,,,,,,everyone,,,,,,everyone
,,,,,,everything,,,,,,everything
,,everywhere,,,,,,,,,,everywhere
,,,,evidence,,,,evidence,,,,evidence
,,,,evidences,,,,,,,True,evidences
,,,evie,,,evie,,,,,,evie
,exact,,,,,,,exact,,,,exact
,,exactly,,,,,,,,,,exactly
,,,,exam,,,,,,,,exam
,,,,examination,,,,,,,,examination
,,,,examinations,,,,,,,True,examinations
,,,,,,,,examine,,,,examine
,,,,example,,,,example,,,,example
,,,,examples,,,,,,,True,examples
,,,,exams,,,,,,,True,exams
,excellent,,,,,,,,,,,excellent
,,,,,except,,,,,,,except
,,,,exchange,,,,exchange,,,,exchange
,,,,exchanges,,,,,,,True,exchanges
,,,,excitement,,,,,,,,excitement
,,,,excitements,,,,,,,True,excitements
,exciting,,,,,,,,,,,exciting
,,,,excuse,,,,excuse,,,,excuse
,,,,excuses,,,,,,,True,excuses
,,,,exercise,,,,exercise,,,,exercise
,,,,exercises,,,,,,,True,exercises
,,,,,,,,exist,,,,exist
,existing,,,,,,,,,,,existing
,,,,exit,,,,exit,,,,exit
,,,,exits,,,,,,,True,exits
exp,,,,,,,,,,,,exp
,,,,,,,,expand,,,,expand
,,,,,,,,expect,,,,expect
,expensive,,,,,,,,,,,expensive
,,,,experience,,,,experience,,,,experience
,,,,,,,,experienced,,,,experienced
,,,,experiences,,,,,,,True,experiences
,expert,,,expert,,,,,,,,expert
,,,,experts,,,,,,,True,experts
,,,,,,,,explain,,,,explain
,,,,explanation,,,,,,,,explanation
,,,,explanations,,,,,,,True,explanations
,,,,,,,,explore,,,,explore
,,,,,,,,expose,,,,expose
expr,,,,,,,,,,,,expr
express,express,,,,,,,express,,,,express
,,,,expression,,,,,,,,expression
,,,,expressions,,,,,,,True,expressions
expressway,,,,,,,,,,,,expressway
expw,,,,,,,,,,,,expw
expy,,,,,,,,,,,,expy
ext,,,,,,,,,,,,ext
,,,,,,,,extend,,,,extend
extension,extension,,,extension,,,,,,,,extension
extensions,,,,extensions,,,,,,,True,extensions
,,,,extent,,,,,,,,extent
,,,,extents,,,,,,,True,extents
,external,,,external,,,,,,,,external
,,,,externals,,,,,,,True,externals
extn,,,,,,,,,,,,extn
extnsn,,,,,,,,,,,,extnsn
,extra,extra,,,,,,,,,,extra
,extreme,,,extreme,,,,,,,,extreme
,,extremely,,,,,,,,,,extremely
,,,,extremes,,,,,,,True,extremes
exts,,,,,,,,,,,,exts
,,,,eye,,,,eye,,,,eye
,,,,eyes,,,,,,,True,eyes
,,,ezekiel,,,,,,,,,ezekiel
,,,ezequiel,,,,,,,,,ezequiel
,,,ezra,,,,,,,,,ezra
,,,fabian,,,,,,,,,fabian
,,,,face,,,,face,,,,face
,,,,faces,,,,,,,True,faces
,,,,fact,,,,,,,,fact
,,,,factor,,,,factor,,,,factor
,,,,factors,,,,,,,True,factors
,,,,facts,,,,,,,True,facts
,,,,fail,,,,fail,,,,fail
,,,,fails,,,,,,,True,fails
,,,,failure,,,,,,,,failure
,,,,failures,,,,,,,True,failures
,fair,fair,,,,,,,,,,fair
,,fairly,,,,,,,,,,fairly
,,,faith,,,faith,,,,,,faith
fall,,,,fall,,,,fall,,,,fall
,,,,,,,,fallen,True,,,fallen
falls,,,,falls,,,,,,,True,falls
,false,false,,,,,,,,,,false
,familiar,,,familiar,,,,,,,,familiar
,,,,familiars,,,,,,,True,familiars
,,,,families,,,,,,,True,families
,,,,family,,,,,,,,family
,famous,,,,,,,,,,,famous
,,,,fan,,,,fan,,,,fan
,,,,fans,,,,,,,True,fans
,far,far,,,,,,,,,,far
,,,,,,,farley,,,,,farley
,,,,farm,,,,farm,,,,farm
,,,,farmer,,,farmer,,,,,farmer
,,,,farmers,,,,,,,True,farmers
,,,,farms,,,,,,,True,farms
,,,,,,,farrell,,,,,farrell
,fast,fast,,,,,,,,,,fast
,fat,,,fat,,,,,,,,fat
,,,,father,,,,father,,,,father
,,,,fathers,,,,,,,True,fathers
,,,fatima,,,fatima,,,,,,fatima
,,,,fats,,,,,,,True,fats
,,,,,,,faulkner,,,,,faulkner
,,,,fault,,,,fault,,,,fault
,,,,faults,,,,,,,True,faults
,,,faye,,,faye,,,,,,faye
,,,,fear,,,,fear,,,,fear
,,,,fears,,,,,,,True,fears
,,,,feature,,,,feature,,,,feature
,,,,features,,,,,,,True,features
,federal,,,,,,,,,,,federal
,,,,fee,,,,fee,,,,fee
,,,,feed,,,,feed,,,,feed
,,,,feedback,,,,,,,,feedback
,,,,feedbacks,,,,,,,True,feedbacks
,,,,feeds,,,,,,,True,feeds
,,,,feel,,,,feel,,,,feel
,feeling,,,feeling,,,,,,,,feeling
,,,,feelings,,,,,,,True,feelings
,,,,feels,,,,,,,True,feels
,,,,fees,,,,,,,True,fees
,,,felicity,,,felicity,,,,,,felicity
,,,felipe,,,,,,,,,felipe
,,,felix,,,,felix,,,,,felix
,,,,,,,,fell,,True,,fell
,,,,,,,,felt,True,,,felt
,female,,,female,,,,,,,,female
,,,,females,,,,,,,True,females
,,,,,,,ferguson,,,,,ferguson
,,,fernanda,,,fernanda,,,,,,fernanda
,,,,,,,fernandez,,,,,fernandez
,,,fernando,,,,,,,,,fernando
ferry,,,,,,,,,,,,ferry
,few,,,few,,,,,,,,few
,,,,fews,,,,,,,True,fews
field,,,,field,,,,field,,,,field
fields,,,,fields,,,fields,,,,True,fields
,,,,fight,,,,fight,,,,fight
,,,,fights,,,,,,,True,fights
,,,,,,,figueroa,,,,,figueroa
,,,,figure,,,,figure,,,,figure
,,,,figures,,,,,,,True,figures
,,,,file,,,,file,,,,file
,,,,files,,,,,,,True,files
,,,,fill,,,,fill,,,,fill
,,,,fills,,,,,,,True,fills
,,,,film,,,,film,,,,film
,,,,films,,,,,,,True,films
,final,,,final,,,,,,,,final
,,finally,,,,,,,,,,finally
,,,,finals,,,,,,,True,finals
,,,,finance,,,,finance,,,,finance
,,,,finances,,,,,,,True,finances
,financial,,,,,,,,,,,financial
,,,,,,,,find,,,,find
,,,,finding,,,,,,,,finding
,,,,findings,,,,,,,True,findings
,fine,fine,,,,,,,,,,fine
,,,,finger,,,,finger,,,,finger
,,,,fingers,,,,,,,True,fingers
,,,,finish,,,,finish,,,,finish
,,,,finishs,,,,,,,True,finishs
,,,finley,,,finley,finley,,,,,finley
,,,finn,,,,,,,,,finn
,,,finnegan,,,,,,,,,finnegan
,,,finnley,,,,,,,,,finnley
,,,fiona,,,fiona,,,,,,fiona
,,,,fire,,,,fire,,,,fire
,,,,fires,,,,,,,True,fires
,firm,,,,,,,firm,,,,firm
,first,first,,,,,,,,,,first
,,,,,,,fischer,,,,,fischer
,,,,fish,,,,fish,,,,fish
,,,fisher,,,,fisher,,,,,fisher
,,,,fishing,,,,,,,,fishing
,,,,fishings,,,,,,,True,fishings
,,,,fishs,,,,,,,True,fishs
,fit,,,,,,,fit,,,,fit
,,,,,,,,"fit, fitted",True,,,"fit, fitted"
,,,,,,,fitzgerald,,,,,fitzgerald
,,,,,,,fitzpatrick,,,,,fitzpatrick
,,,,fix,,,,fix,,,,fix
,,,,,,,,fixed,,,,fixed
,,,,fixs,,,,,,,True,fixs
flat,flat,flat,,,,,,,,,,flat
flats,,,,,,,,,,,,flats
fld,,,,,,,,,,,,fld
flds,,,,,,,,,,,,flds
,,,,,,,fleming,,,,,fleming
,,,fletcher,,,,fletcher,,,,,fletcher
,,,,,,,,flew,,True,,flew
,,,,flies,,,,,,,True,flies
,,,,flight,,,,,,,,flight
,,,,flights,,,,,,,True,flights
,,,,floor,,,,floor,,,,floor
,,,,floors,,,,,,,True,floors
,,,florence,,,florence,,,,,,florence
,,,,,,,flores,,,,,flores
,,,,flow,,,,flow,,,,flow
,,,,flower,,,,flower,,,,flower
,,,,flowers,,,flowers,,,,True,flowers
,,,,,,,,flown,True,,,flown
,,,,flows,,,,,,,True,flows
,,,,,,,floyd,,,,,floyd
fls,,,,,,,,,,,,fls
flt,,,,,,,,,,,,flt
flts,,,,,,,,,,,,flts
,,,,fly,,,,fly,,,,fly
,,,flynn,,,,flynn,,,,,flynn
,,,,focus,,,,focus,,,,focus
,,,,focuses,,,,,,,True,focuses
,,,,fold,,,,fold,,,,fold
,,,,folds,,,,,,,True,folds
,,,,,,,foley,,,,,foley
,,,,,,,,follow,,,,follow
,,,,following,following,,,,,,,following
,,,,followings,,,,,,,True,followings
,,,,food,,,,,,,,food
,,,,foods,,,,,,,True,foods
,,,,foot,,,,foot,,,,foot
,,,,football,,,,,,,,football
,,,,footballs,,,,,,,True,footballs
,,,,foots,,,,,,,True,foots
,,,,,for,,,,,,,for
,,,,force,,,,force,,,,force
,,,,forces,,,,,,,True,forces
ford,,,ford,,,,ford,,,,,ford
fords,,,,,,,,,,,,fords
,foreign,,,,,,,,,,,foreign
forest,,,,,,,,,,,,forest
forests,,,,,,,,,,,,forests
,,forever,,forever,,,,,,,,forever
,,,,forevers,,,,,,,True,forevers
forg,,,,,,,,,,,,forg
forge,,,,,,,,,,,,forge
forges,,,,,,,,,,,,forges
,,,,,,,,forget,,,,forget
,,,,,,,,forgot,,True,,forgot
,,,,,,,,forgotten,True,,,forgotten
fork,,,,,,,,,,,,fork
forks,,,,,,,,,,,,forks
,,,,form,,,,form,,,,form
,formal,,,formal,,,,,,,,formal
,,,,formals,,,,,,,True,formals
,former,,,,,,,,,,,former
,,,,forms,,,,,,,True,forms
,,,forrest,,,,,,,,,forrest
fort,,,,,,,,,,,,fort
,,forth,,,,,,,,,,forth
,,,,fortune,,,,,,,,fortune
,,,,fortunes,,,,,,,True,fortunes
,forward,forward,,,,,,,,,,forward
,,,foster,,,,foster,,,,,foster
,,,,,,,,fought,True,,,fought
,,,,,,,,found,True,,,found
,,,,foundation,,,,,,,,foundation
,,,,foundations,,,,,,,True,foundations
,,,,,,,fowler,,,,,fowler
,,,fox,,,,fox,,,,,fox
,,,,frame,,,,frame,,,,frame
,,,,frames,,,,,,,True,frames
,,,frances,,,frances,,,,,,frances
,,,francesca,,,francesca,,,,,,francesca
,,,francis,,,,francis,,,,,francis
,,,francisco,,,,,,,,,francisco
,,,franco,,,,franco,,,,,franco
,,,frank,,,,frank,,,,,frank
,,,frankie,,,frankie,,,,,,frankie
,,,franklin,,,,franklin,,,,,franklin
,,,,,,,frazier,,,,,frazier
frd,,,,,,,,,,,,frd
