term,"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_medical","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense"
cyn,cyn,,,,,,,,,,,,,
cynthia,,,,cynthia,,,,,,,,,,
cyrus,,,,cyrus,,,,,,,,,,
dad,,,,,,dad,,,,,,,,
dads,,,,,,dads,,,,,,,True,
dahlia,,,,dahlia,,,,,,,,,,
daily,,,daily,,,,,,,,,,,
daisy,,,,daisy,,,,,,,,,,
dakota,,,,dakota,,,,,,,,,,
dalary,,,,dalary,,,,,,,,,,
dale,dale,,,,,,,,,,,,,
daleyza,,,,daleyza,,,,,,,,,,
dallas,,,,dallas,,,,,,,,,,
dalton,,,,dalton,,,,,dalton,,,,,
dam,dam,,,,,,,,,,,,,
damage,,,,,,damage,,,,damage,,,,
damaged,,,,,,,,,,damaged,,True,,
damages,,,,,,damages,,,,,,,True,
damaging,,,,,,,,,,damaging,,,,True
damari,,,,damari,,,,,,,,,,
damian,,,,damian,,,,,,,,,,
damien,,,,damien,,,,,,,,,,
damon,,,,damon,,,,,,,,,,
dana,,,,dana,,,,,,,,,,
dance,,,,,,dance,,,,dance,,,,
danced,,,,,,,,,,danced,,True,,
dances,,,,,,dances,,,,,,,True,
dancing,,,,,,,,,,dancing,,,,True
dane,,,,dane,,,,,,,,,,
dangelo,,,,dangelo,,,,,,,,,,
dangerous,,dangerous,,,,,,,,,,,,
danica,,,,danica,,,,,,,,,,
daniel,,,,daniel,,,,,daniel,,,,,
daniela,,,,daniela,,,,,,,,,,
daniella,,,,daniella,,,,,,,,,,
danielle,,,,danielle,,,,,,,,,,
daniels,,,,,,,,,daniels,,,,,
danna,,,,danna,,,,,,,,,,
danny,,,,danny,,,,,,,,,,
dante,,,,dante,,,,,,,,,,
daphne,,,,daphne,,,,,,,,,,
dare,,,,,,dare,,,,dare,,,,
dared,,,,,,,,,,dared,,True,,
dares,,,,,,dares,,,,,,,True,
darian,,,,darian,,,,,,,,,,
dariel,,,,dariel,,,,,,,,,,
daring,,,,,,,,,,daring,,,,True
dario,,,,dario,,,,,,,,,,
darius,,,,darius,,,,,,,,,,
dark,,dark,,,,dark,,,,,,,,
darks,,,,,,darks,,,,,,,True,
darrell,,,,darrell,,,,,,,,,,
darren,,,,darren,,,,,,,,,,
darwin,,,,darwin,,,,,,,,,,
dash,,,,dash,,,,,,,,,,
data,,,,,,data,,,,,,,,
database,,,,,,database,,,,,,,,
databases,,,,,,databases,,,,,,,True,
datas,,,,,,datas,,,,,,,True,
date,,,,,,date,,,,date,,,,
dated,,,,,,,,,,dated,,True,,
dates,,,,,,dates,,,,,,,True,
dating,,,,,,,,,,dating,,,,True
daugherty,,,,,,,,,daugherty,,,,,
daughter,,daughter,,,,daughter,,,,,,,,
daughters,,,,,,daughters,,,,,,,True,
davenport,,,,,,,,,davenport,,,,,
davian,,,,davian,,,,,,,,,,
david,,,,david,,,,,david,,,,,
davidson,,,,,,,,,davidson,,,,,
davila,,,,,,,,,davila,,,,,
davina,,,,davina,,,,,,,,,,
davion,,,,davion,,,,,,,,,,
davis,,,,davis,,,,,davis,,,,,
dawson,,,,dawson,,,,,dawson,,,,,
dax,,,,dax,,,,,,,,,,
daxton,,,,daxton,,,,,,,,,,
day,,day,,,,day,,,day,,,,,
dayana,,,,dayana,,,,,,,,,,
days,,,,,,days,,,,,,,True,
dayton,,,,dayton,,,,,,,,,,
deacon,,,,deacon,,,,,,,,,,
dead,,dead,,,,dead,,,,,,,,
deadline,,,,,,deadline,,,,,,,,
deadlines,,,,,,deadlines,,,,,,,True,
deads,,,,,,deads,,,,,,,True,
deal,,,,,,deal,,,,deal,,,,
dealed,,,,,,,,,,dealed,,True,,
dealer,,,,,,dealer,,,,,,,,
dealers,,,,,,dealers,,,,,,,True,
dealing,,,,,,,,,,dealing,,,,True
deals,,,,,,deals,,,,,,,True,
dealt,,,,,,,,,,dealt,True,,,
dean,,,,dean,,,,,dean,,,,,
deandre,,,,deandre,,,,,,,,,,
dear,,dear,,,,dear,,,,,,,,
dears,,,,,,dears,,,,,,,True,
death,,,,,,death,,,,,,,,
deaths,,,,,,deaths,,,,,,,True,
debate,,,,,,debate,,,,debate,,,,
debated,,,,,,,,,,debated,,True,,
debates,,,,,,debates,,,,,,,True,
debating,,,,,,,,,,debating,,,,True
deborah,,,,deborah,,,,,,,,,,
debris,,,,,,debris,,,,,,,,
debt,,,,,,debt,,,,,,,,
debts,,,,,,debts,,,,,,,True,
decent,,decent,,,,,,,,,,,,
decide,,,,,,,,,,decide,,,,
decided,,,,,,,,,,decided,,True,,
deciding,,,,,,,,,,deciding,,,,True
decision,,,,,,decision,,,,,,,,
decisions,,,,,,decisions,,,,,,,True,
decker,,,,decker,,,,,decker,,,,,
declan,,,,declan,,,,,,,,,,
decrease,,,,,,,,,,decrease,,,,
decreasing,,,,,,,,,,decreasing,,,,True
deep,,deep,,,,deep,,,,,,,,
deeply,,,deeply,,,,,,,,,,,
deeps,,,,,,deeps,,,,,,,True,
definitely,,,definitely,,,,,,,,,,,
definition,,,,,,definition,,,,,,,,
definitions,,,,,,definitions,,,,,,,True,
degree,,,,,,degree,,,,,,,,
degrees,,,,,,degrees,,,,,,,True,
dejesus,,,,,,,,,dejesus,,,,,
delacruz,,,,,,,,,delacruz,,,,,
delaney,,,,delaney,,,,,,,,,,
delarosa,,,,,,,,,delarosa,,,,,
delay,,,,,,delay,,,,delay,,,,
delayed,,,,,,,,,,delayed,,True,,
delaying,,,,,,,,,,delaying,,,,True
delays,,,,,,delays,,,,,,,True,
deleon,,,,,,,,,deleon,,,,,
delgado,,,,,,,,,delgado,,,,,
deliberately,,,deliberately,,,,,,,,,,,
delilah,,,,delilah,,,,,,,,,,
deliver,,,,,,,,,,deliver,,,,
delivered,,,,,,,,,,delivered,,True,,
deliveries,,,,,,deliveries,,,,,,,True,
delivering,,,,,,,,,,delivering,,,,True
delivery,,,,,,delivery,,,,,,,,
demand,,,,,,demand,,,,demand,,,,
demanded,,,,,,,,,,demanded,,True,,
demanding,,,,,,,,,,demanding,,,,True
demands,,,,,,demands,,,,,,,True,
demetrius,,,,demetrius,,,,,,,,,,
demi,,,,demi,,,,,,,,,,
demonstrate,,,,,,,,,,demonstrate,,,,
demonstrated,,,,,,,,,,demonstrated,,True,,
dennis,,,,dennis,,,,,dennis,,,,,
denver,,,,denver,,,,,,,,,,
department,,,,,,department,,,,,,,,
departments,,,,,,departments,,,,,,,True,
departure,,,,,,departure,,,,,,,,
departures,,,,,,departures,,,,,,,True,
depend,,,,,,,,,,depend,,,,
depended,,,,,,,,,,depended,,True,,
dependent,,dependent,,,,dependent,,,,,,,,
dependents,,,,,,dependents,,,,,,,True,
depending,,,,,,,,,,depending,,,,True
deposit,,,,,,deposit,,,,deposit,,,,
deposited,,,,,,,,,,deposited,,True,,
depositing,,,,,,,,,,depositing,,,,True
deposits,,,,,,deposits,,,,,,,True,
depression,,,,,,depression,,,,,,,,
depressions,,,,,,depressions,,,,,,,True,
depth,,,,,,depth,,,,,,,,
depths,,,,,,depths,,,,,,,True,
derek,,,,derek,,,,,,,,,,
derrick,,,,derrick,,,,,,,,,,
describe,,,,,,,,,,describe,,,,
described,,,,,,,,,,described,,True,,
describing,,,,,,,,,,describing,,,,True
description,,,,,,description,,,,,,,,
descriptions,,,,,,descriptions,,,,,,,True,
deserve,,,,,,,,,,deserve,,,,
deserved,,,,,,,,,,deserved,,True,,
deserving,,,,,,,,,,deserving,,,,True
design,,,,,,design,,,,design,,,,
designed,,,,,,,,,,designed,,True,,
designer,,designer,,,,designer,,,,,,,,
designers,,,,,,designers,,,,,,,True,
designing,,,,,,,,,,designing,,,,True
designs,,,,,,designs,,,,,,,True,
desire,,,,,,desire,,,,desire,,,,
desired,,,,,,,,,,desired,,True,,
desiree,,,,desiree,,,,,,,,,,
desires,,,,,,desires,,,,,,,True,
desiring,,,,,,,,,,desiring,,,,True
desk,,,,,,desk,,,,,,,,
desks,,,,,,desks,,,,,,,True,
desmond,,,,desmond,,,,,,,,,,
desperate,,desperate,,,,,,,,,,,,
despite,,,,,,,despite,,,,,,,
destiny,,,,destiny,,,,,,,,,,
destroy,,,,,,,,,,destroy,,,,
destroyed,,,,,,,,,,destroyed,,True,,
destroying,,,,,,,,,,destroying,,,,True
detail,,,,,,detail,,,,detail,,,,
detailed,,,,,,,,,,detailed,,True,,
detaileded,,,,,,,,,,detaileded,,True,,
detailing,,,,,,,,,,detailing,,,,True
details,,,,,,details,,,,,,,True,
determine,,,,,,,,,,determine,,,,
determined,,,,,,,,,,determined,,True,,
determining,,,,,,,,,,determining,,,,True
develop,,,,,,,,,,develop,,,,
developed,,,,,,,,,,developed,,True,,
developing,,,,,,,,,,developing,,,,True
development,,,,,,development,,,,,,,,
developments,,,,,,developments,,,,,,,True,
device,,,,,,device,,,,,,,,
devices,,,,,,devices,,,,,,,True,
devil,,,,,,devil,,,,devil,,,,
deviled,,,,,,,,,,deviled,,True,,
deviling,,,,,,,,,,deviling,,,,True
devils,,,,,,devils,,,,,,,True,
devin,,,,devin,,,,,,,,,,
devon,,,,devon,,,,,,,,,,
devote,,,,,,,,,,devote,,,,
devoted,,,,,,,,,,devoted,,True,,
dexter,,,,dexter,,,,,,,,,,
diamond,,,,,,diamond,,,,,,,,
diamonds,,,,,,diamonds,,,,,,,True,
diana,,,,diana,,,,,,,,,,
diaz,,,,,,,,,diaz,,,,,
dickerson,,,,,,,,,dickerson,,,,,
dickson,,,,,,,,,dickson,,,,,
die,,,,,,,,,,die,,,,
died,,,,,,,,,,died,,True,,
diego,,,,diego,,,,,,,,,,
diet,,,,,,diet,,,,diet,,,,
dieted,,,,,,,,,,dieted,,True,,
dieting,,,,,,,,,,dieting,,,,True
diets,,,,,,diets,,,,,,,True,
differ,,,,,,,,,,differ,,,,
differed,,,,,,,,,,differed,,True,,
difference,,,,,,difference,,,,,,,,
differences,,,,,,differences,,,,,,,True,
different,,different,,,,,,,,,,,,
differing,,,,,,,,,,differing,,,,True
difficult,,difficult,,,,,,,,,,,,
difficulties,,,,,,difficulties,,,,,,,True,
difficulty,,,,,,difficulty,,,,,,,,
dig,,,,,,dig,,,,dig,,,,
diged,,,,,,,,,,diged,,True,,
diging,,,,,,,,,,diging,,,,True
digs,,,,,,digs,,,,,,,True,
diing,,,,,,,,,,diing,,,,True
dilan,,,,dilan,,,,,,,,,,
dillon,,,,dillon,,,,,dillon,,,,,
dimension,,,,,,dimension,,,,dimension,,,,
dimensioned,,,,,,,,,,dimensioned,,True,,
dimensioning,,,,,,,,,,dimensioning,,,,True
dimensions,,,,,,dimensions,,,,,,,True,
dimitri,,,,dimitri,,,,,,,,,,
dinner,,,,,,dinner,,,,,,,,
dinners,,,,,,dinners,,,,,,,True,
direct,,direct,direct,,,,,,,direct,,,,
directed,,,,,,,,,,directed,,True,,
direction,,,,,,direction,,,,,,,,
directions,,,,,,directions,,,,,,,True,
directly,,,directly,,,,,,,,,,,
director,,,,,,director,,,,,,,,
directors,,,,,,directors,,,,,,,True,
dirt,,,,,,dirt,,,,,,,,
dirts,,,,,,dirts,,,,,,,True,
dirty,,dirty,,,,,,,,dirty,,,,
dirtyed,,,,,,,,,,dirtyed,,True,,
dirtying,,,,,,,,,,dirtying,,,,True
disagree,,,,,,,,,,disagree,,,,
disagreed,,,,,,,,,,disagreed,,True,,
disagreeing,,,,,,,,,,disagreeing,,,,True
disappointed,,,,,,,,,,disappointed,,,,
disappointeded,,,,,,,,,,disappointeded,,True,,
disappointeding,,,,,,,,,,disappointeding,,,,True
disaster,,,,,,disaster,,,,,,,,
disasters,,,,,,disasters,,,,,,,True,
discipline,,,,,,discipline,,,,discipline,,,,
disciplined,,,,,,,,,,disciplined,,True,,
disciplines,,,,,,disciplines,,,,,,,True,
disciplining,,,,,,,,,,disciplining,,,,True
discount,,,,,,discount,,,,discount,,,,
discounted,,,,,,,,,,discounted,,True,,
discounting,,,,,,,,,,discounting,,,,True
discounts,,,,,,discounts,,,,,,,True,
discover,,,,,,,,,,discover,,,,
discovered,,,,,,,,,,discovered,,True,,
discovering,,,,,,,,,,discovering,,,,True
discuss,,,,,,,,,,discuss,,,,
discussed,,,,,,,,,,discussed,,True,,
discussing,,,,,,,,,,discussing,,,,True
discussion,,,,,,discussion,,,,,,,,
discussions,,,,,,discussions,,,,,,,True,
disease,,,,,,disease,,,,,,,,
diseases,,,,,,diseases,,,,,,,True,
dish,,,,,,dish,,,,dish,,,,
dished,,,,,,,,,,dished,,True,,
dishing,,,,,,,,,,dishing,,,,True
dishs,,,,,,dishs,,,,,,,True,
disk,,,,,,disk,,,,,,,,
disks,,,,,,disks,,,,,,,True,
display,,,,,,display,,,,display,,,,
displayed,,,,,,,,,,displayed,,True,,
displaying,,,,,,,,,,displaying,,,,True
displays,,,,,,displays,,,,,,,True,
distance,,,,,,distance,,,,distance,,,,
distanced,,,,,,,,,,distanced,,True,,
distances,,,,,,distances,,,,,,,True,
distancing,,,,,,,,,,distancing,,,,True
distinct,,distinct,,,,,,,,,,,,
distribute,,,,,,,,,,distribute,,,,
distributed,,,,,,,,,,distributed,,True,,
distributing,,,,,,,,,,distributing,,,,True
distribution,,,,,,distribution,,,,,,,,
distributions,,,,,,distributions,,,,,,,True,
district,,,,,,district,,,,district,,,,
districted,,,,,,,,,,districted,,True,,
districting,,,,,,,,,,districting,,,,True
districts,,,,,,districts,,,,,,,True,
div,div,,,,,,,,,,,,,
divide,divide,,,,,divide,,,,divide,,,,
divided,,,,,,,,,,divided,,True,,
divides,,,,,,divides,,,,,,,True,
dividing,,,,,,,,,,dividing,,,,True
dixon,,,,,,,,,dixon,,,,,
dl,dl,,,,,,,,,,,,,
dm,dm,,,,,,,,,,,,,
doctor,,,,,,doctor,,,,doctor,,,,
doctored,,,,,,,,,,doctored,,True,,
doctoring,,,,,,,,,,doctoring,,,,True
doctors,,,,,,doctors,,,,,,,True,
document,,,,,,document,,,,document,,,,
documented,,,,,,,,,,documented,,True,,
documenting,,,,,,,,,,documenting,,,,True
documents,,,,,,documents,,,,,,,True,
dodson,,,,,,,,,dodson,,,,,
does,,,,,,,,,,does,,,,
doesed,,,,,,,,,,doesed,,True,,
doesing,,,,,,,,,,doesing,,,,True
dog,,,,,,dog,,,,dog,,,,
doged,,,,,,,,,,doged,,True,,
doging,,,,,,,,,,doging,,,,True
dogs,,,,,,dogs,,,,,,,True,
dominguez,,,,,,,,,dominguez,,,,,
dominic,,,,dominic,,,,,,,,,,
dominick,,,,dominick,,,,,,,,,,
dominik,,,,dominik,,,,,,,,,,
dominique,,,,dominique,,,,,,,,,,
donald,,,,donald,,,,,,,,,,
donaldson,,,,,,,,,donaldson,,,,,
donovan,,,,donovan,,,,,donovan,,,,,
door,,,,,,door,,,,,,,,
doors,,,,,,doors,,,,,,,True,
dorian,,,,dorian,,,,,,,,,,
dorothy,,,,dorothy,,,,,,,,,,
dorsey,,,,,,,,,dorsey,,,,,
dot,,,,,,dot,,,,dot,,,,
doted,,,,,,,,,,doted,,True,,
doting,,,,,,,,,,doting,,,,True
dots,,,,,,dots,,,,,,,True,
double,,double,,,,double,,,,,,,,
doubles,,,,,,doubles,,,,,,,True,
doubt,,,,,,doubt,,,,doubt,,,,
doubted,,,,,,,,,,doubted,,True,,
doubting,,,,,,,,,,doubting,,,,True
doubts,,,,,,doubts,,,,,,,True,
dougherty,,,,,,,,,dougherty,,,,,
douglas,,,,douglas,,,,,douglas,,,,,
down,,,down,,,,down,,,,,,,
downtown,,downtown,downtown,,,,,,,,,,,
doyle,,,,,,,,,doyle,,,,,
dr,dr,,,,,,,,,,,,,
draft,,,,,,draft,,,,draft,,,,
drafted,,,,,,,,,,drafted,,True,,
drafting,,,,,,,,,,drafting,,,,True
drafts,,,,,,drafts,,,,,,,True,
drag,,,,,,drag,,,,drag,,,,
draged,,,,,,,,,,draged,,True,,
draging,,,,,,,,,,draging,,,,True
drags,,,,,,drags,,,,,,,True,
drake,,,,drake,,,,,drake,,,,,
drama,,,,,,drama,,,,,,,,
dramas,,,,,,dramas,,,,,,,True,
dramatic,,dramatic,,,,,,,,,,,,
drank,,,,,,,,,,drank,,True,,
drape,,,,,,drape,,,,,,,,
drapes,,,,,,drapes,,,,,,,True,
draven,,,,draven,,,,,,,,,,
draw,,,,,,draw,,,,draw,,,,
drawed,,,,,,,,,,drawed,,True,,
drawer,,,,,,drawer,,,,,,,,
drawers,,,,,,drawers,,,,,,,True,
drawing,,,,,,drawing,,,,drawing,,,,True
drawings,,,,,,drawings,,,,,,,True,
drawn,,,,,,,,,,drawn,True,,,
draws,,,,,,draws,,,,,,,True,
dream,,,,dream,,dream,,,,dream,,,,
dreamed,,,,,,,,,,dreamed,True,True,,
dreaming,,,,,,,,,,dreaming,,,,True
dreams,,,,,,dreams,,,,,,,True,
dreamt,,,,,,,,,,dreamt,,True,,
dress,,dress,,,,dress,,,,,,,,
dresses,,,,,,dresses,,,,,,,True,
drew,,,,drew,,,,,,drew,,True,,
drink,,,,,,drink,,,,drink,,,,
drinked,,,,,,,,,,drinked,,True,,
drinking,,,,,,,,,,drinking,,,,True
drinks,,,,,,drinks,,,,,,,True,
driv,driv,,,,,,,,,,,,,
drive,drive,,,,,drive,,,,drive,,,,
drived,,,,,,,,,,drived,,True,,
driven,,,,,,,,,,driven,True,,,
driver,,,,,,driver,,,,,,,,
drivers,,,,,,drivers,,,,,,,True,
drives,drives,,,,,drives,,,,,,,True,
driving,,,,,,,,,,driving,,,,True
drop,,,,,,drop,,,,drop,,,,
droped,,,,,,,,,,droped,,True,,
droping,,,,,,,,,,droping,,,,True
dropped,,,,,,,,,,dropped,,True,,
drops,,,,,,drops,,,,,,,True,
drove,,,,,,,,,,drove,,True,,
drs,drs,,,,,,,,,,,,,
drunk,,drunk,,,,drunk,,,,drunk,True,,,
drunks,,,,,,drunks,,,,,,,True,
drv,drv,,,,,,,,,,,,,
dry,,dry,,,,,,,,dry,,,,
dryed,,,,,,,,,,dryed,,True,,
drying,,,,,,,,,,drying,,,,True
duarte,,,,,,,,,duarte,,,,,
dudley,,,,,,,,,dudley,,,,,
due,,due,,,,due,,,,,,,,
dues,,,,,,dues,,,,,,,True,
duffy,,,,,,,,,duffy,,,,,
dug,,,,,,,,,,dug,True,,,
duke,,,,duke,,,,,duke,,,,,
dulce,,,,dulce,,,,,,,,,,
dump,,,,,,dump,,,,dump,,,,
dumped,,,,,,,,,,dumped,,True,,
dumping,,,,,,,,,,dumping,,,,True
dumps,,,,,,dumps,,,,,,,True,
duncan,,,,duncan,,,,,duncan,,,,,
dunlap,,,,,,,,,dunlap,,,,,
dunn,,,,,,,,,dunn,,,,,
duran,,,,,,,,,duran,,,,,
durham,,,,,,,,,durham,,,,,
during,,,,,,,during,,,,,,,
dust,,,,,,dust,,,,dust,,,,
dusted,,,,,,,,,,dusted,,True,,
dustin,,,,dustin,,,,,,,,,,
dusting,,,,,,,,,,dusting,,,,True
dusts,,,,,,dusts,,,,,,,True,
duties,,,,,,duties,,,,,,,True,
duty,,,,,,duty,,,,,,,,
dv,dv,,,,,,,,,,,,,
dvd,dvd,,,,,,,,,,,,,
dwayne,,,,dwayne,,,,,,,,,,
dyer,,,,,,,,,dyer,,,,,
dylan,,,,dylan,,,,,,,,,,
each,,each,each,,,,,,,,,,,
ear,,,,,,ear,,,,,,,,
early,,,early,,,,,,,,,,,
earn,,,,,,,,,,earn,,,,
earned,,,,,,,,,,earned,,True,,
earning,,,,,,,,,,earning,,,,True
ears,,,,,,ears,,,,,,,True,
earth,,,,,,earth,,,,earth,,,,
earthed,,,,,,,,,,earthed,,True,,
earthing,,,,,,,,,,earthing,,,,True
earths,,,,,,earths,,,,,,,True,
ease,,,,,,ease,,,,ease,,,,
eased,,,,,,,,,,eased,,True,,
eases,,,,,,eases,,,,,,,True,
easily,,,easily,,,,,,,,,,,
easing,,,,,,,,,,easing,,,,True
eason,,,,eason,,,,,,,,,,
east,,east,,,,east,,,,,,,,
eastern,,eastern,,,,,,,,,,,,
easton,,,,easton,,,,,,,,,,
easts,,,,,,easts,,,,,,,True,
easy,,easy,easy,,,,,,,,,,,
eat,,,,,,eat,,,,eat,,,,
eated,,,,,,,,,,eated,,True,,
eaten,,,,,,,,,,eaten,True,,,
eating,,,,,,,,,,eating,,,,True
eaton,,,,,,,,,eaton,,,,,
eats,,,,,,eats,,,,,,,True,
economics,,,,,,economics,,,,,,,,
economicses,,,,,,economicses,,,,,,,True,
economies,,,,,,economies,,,,,,,True,
economy,,economy,,,,economy,,,,,,,,
eddie,,,,eddie,,,,,,,,,,
edema,,,,,edema,,,,,,,,,
eden,,,,eden,,,,,,,,,,
edgar,,,,edgar,,,,,,,,,,
edge,,,,,,edge,,,,edge,,,,
edged,,,,,,,,,,edged,,True,,
edges,,,,,,edges,,,,,,,True,
edging,,,,,,,,,,edging,,,,True
edison,,,,edison,,,,,,,,,,
edith,,,,edith,,,,,,,,,,
editor,,,,,,editor,,,,,,,,
editors,,,,,,editors,,,,,,,True,
eduardo,,,,eduardo,,,,,,,,,,
education,,,,,,education,,,,,,,,
educational,,educational,,,,,,,,,,,,
educations,,,,,,educations,,,,,,,True,
edward,,,,edward,,,,,,,,,,
edwards,,,,,,,,,edwards,,,,,
edwin,,,,edwin,,,,,,,,,,
effect,,,,,,effect,,,,effect,,,,
effected,,,,,,,,,,effected,,True,,
effecting,,,,,,,,,,effecting,,,,True
effective,,effective,,,,effective,,,,,,,,
effectively,,,effectively,,,,,,,,,,,
effectives,,,,,,effectives,,,,,,,True,
effects,,,,,,effects,,,,,,,True,
efficiencies,,,,,,efficiencies,,,,,,,True,
efficiency,,,,,,efficiency,,,,,,,,
efficient,,efficient,,,,,,,,,,,,
effort,,,,,,effort,,,,,,,,
efforts,,,,,,efforts,,,,,,,True,
egg,,,,,,egg,,,,egg,,,,
egged,,,,,,,,,,egged,,True,,
egging,,,,,,,,,,egging,,,,True
eggs,,,,,,eggs,,,,,,,True,
egypt,,,,egypt,,,,,,,,,,
eileen,,,,eileen,,,,,,,,,,
either,,either,,,,,,,,,,,,
elaina,,,,elaina,,,,,,,,,,
elaine,,,,elaine,,,,,,,,,,
eleanor,,,,eleanor,,,,,,,,,,
election,,,,,,election,,,,,,,,
elections,,,,,,elections,,,,,,,True,
electrical,,electrical,,,,,,,,,,,,
electronic,,electronic,,,,,,,,,,,,
elena,,,,elena,,,,,,,,,,
elevator,,,,,,elevator,,,,,,,,
elevators,,,,,,elevators,,,,,,,True,
eli,,,,eli,,,,,,,,,,
elian,,,,elian,,,,,,,,,,
eliana,,,,eliana,,,,,,,,,,
elianna,,,,elianna,,,,,,,,,,
elias,,,,elias,,,,,,,,,,
eliezer,,,,eliezer,,,,,,,,,,
elijah,,,,elijah,,,,,,,,,,
elisa,,,,elisa,,,,,,,,,,
elisabeth,,,,elisabeth,,,,,,,,,,
elise,,,,elise,,,,,,,,,,
eliseo,,,,eliseo,,,,,,,,,,
elisha,,,,elisha,,,,,,,,,,
eliza,,,,eliza,,,,,,,,,,
elizabeth,,,,elizabeth,,,,,,,,,,
ella,,,,ella,,,,,,,,,,
elle,,,,elle,,,,,,,,,,
ellen,,,,ellen,,,,,,,,,,
elliana,,,,elliana,,,,,,,,,,
ellianna,,,,ellianna,,,,,,,,,,
ellie,,,,ellie,,,,,,,,,,
elliot,,,,elliot,,,,,,,,,,
elliott,,,,elliott,,,,,elliott,,,,,
ellis,,,,ellis,,,,,ellis,,,,,
ellison,,,,ellison,,,,,ellison,,,,,
eloise,,,,eloise,,,,,,,,,,
elora,,,,elora,,,,,,,,,,
elsa,,,,elsa,,,,,,,,,,
else,,,else,,,,,,,,,,,
elsewhere,,,elsewhere,,,,,,,,,,,
elsie,,,,elsie,,,,,,,,,,
elyse,,,,elyse,,,,,,,,,,
email,,,,,,email,,,,,,,,
emails,,,,,,emails,,,,,,,True,
emanuel,,,,emanuel,,,,,,,,,,
embarrassed,,embarrassed,,,,,,,,,,,,
ember,,,,ember,,,,,,,,,,
emberly,,,,emberly,,,,,,,,,,
emelia,,,,emelia,,,,,,,,,,
emely,,,,emely,,,,,,,,,,
emerald,,,,emerald,,,,,,,,,,
emergencies,,,,,,emergencies,,,,,,,True,
emergency,,emergency,,,,emergency,,,,,,,,
emerie,,,,emerie,,,,,,,,,,
emerson,,,,emerson,,,,,,,,,,
emersyn,,,,emersyn,,,,,,,,,,
emery,,,,emery,,,,,,,,,,
emilee,,,,emilee,,,,,,,,,,
emilia,,,,emilia,,,,,,,,,,
emiliano,,,,emiliano,,,,,,,,,,
emilio,,,,emilio,,,,,,,,,,
emily,,,,emily,,,,,,,,,,
emma,,,,emma,,,,,,,,,,
emmaline,,,,emmaline,,,,,,,,,,
emmalyn,,,,emmalyn,,,,,,,,,,
emmalynn,,,,emmalynn,,,,,,,,,,
emmanuel,,,,emmanuel,,,,,,,,,,
emmeline,,,,emmeline,,,,,,,,,,
emmet,,,,emmet,,,,,,,,,,
emmett,,,,emmett,,,,,,,,,,
emmie,,,,emmie,,,,,,,,,,
emmitt,,,,emmitt,,,,,,,,,,
emmy,,,,emmy,,,,,,,,,,
emory,,,,emory,,,,,,,,,,
emotion,,,,,,emotion,,,,,,,,
emotional,,emotional,,,,,,,,,,,,
emotions,,,,,,emotions,,,,,,,True,
emphasis,,,,,,emphasis,,,,,,,,
emphasises,,,,,,emphasises,,,,,,,True,
emphasize,,,,,,,,,,emphasize,,,,
emphasized,,,,,,,,,,emphasized,,True,,
emphasizing,,,,,,,,,,emphasizing,,,,True
employ,,,,,,employ,,,,employ,,,,
employed,,,,,,,,,,employed,,True,,
employee,,,,,,employee,,,,,,,,
employees,,,,,,employees,,,,,,,True,
employer,,,,,,employer,,,,,,,,
employers,,,,,,employers,,,,,,,True,
employing,,,,,,,,,,employing,,,,True
employment,,,,,,employment,,,,,,,,
employments,,,,,,employments,,,,,,,True,
employs,,,,,,employs,,,,,,,True,
empty,,empty,,,,,,,,empty,,,,
emptyed,,,,,,,,,,emptyed,,True,,
emptying,,,,,,,,,,emptying,,,,True
enable,,,,,,,,,,enable,,,,
enabled,,,,,,,,,,enabled,,True,,
enabling,,,,,,,,,,enabling,,,,True
encourage,,,,,,,,,,encourage,,,,
encouraged,,,,,,,,,,encouraged,,True,,
encouraging,,,,,,,,,,encouraging,,,,True
encouraginged,,,,,,,,,,encouraginged,,True,,
encouraginging,,,,,,,,,,encouraginging,,,,True
end,,,,,,end,,,,end,,,,
ended,,,,,,,,,,ended,,True,,
ending,,,,,,,,,,ending,,,,True
ends,,,,,,ends,,,,,,,True,
energies,,,,,,energies,,,,,,,True,
energy,,,,,,energy,,,,,,,,
engage,,,,,,,,,,engage,,,,
engaged,,,,,,,,,,engaged,,True,,
engaging,,,,,,,,,,engaging,,,,True
engine,,,,,,engine,,,,,,,,
engineer,,,,,,engineer,,,,engineer,,,,
engineered,,,,,,,,,,engineered,,True,,
engineering,,,,,,engineering,,,,engineering,,,,True
engineerings,,,,,,engineerings,,,,,,,True,
engineers,,,,,,engineers,,,,,,,True,
engines,,,,,,engines,,,,,,,True,
english,,,,,,,,,english,,,,,
enhance,,,,,,,,,,enhance,,,,
enhanced,,,,,,,,,,enhanced,,True,,
enhancing,,,,,,,,,,enhancing,,,,True
enjoy,,,,,,,,,,enjoy,,,,
enjoyed,,,,,,,,,,enjoyed,,True,,
enjoying,,,,,,,,,,enjoying,,,,True
enoch,,,,enoch,,,,,,,,,,
enough,,enough,enough,,,,,,,,,,,
enrique,,,,enrique,,,,,,,,,,
enriquez,,,,,,,,,enriquez,,,,,
ensley,,,,ensley,,,,,,,,,,
ensure,,,,,,,,,,ensure,,,,
